Последовательное изложение самим говорящим или пишущим основных этапов его жизни.|автобиография
Музыкальное сопровождение сольной вокальной или инструментальной партии, основной темы или мелодии музыкального произведения.|аккомпанемент
Система взглядов на развитие органического мира, отрицающая биологическую эволюцию вообще или учение о естественном отборе.|антидарвинизм
Строительство барж.|баржестроение
Недостаток художественной образности (в произведении искусства, литературы).|безобразность
Отсутствие рассудительности, склонность к безрассудным поступкам; неосмотрительность.|безрассудство
Безрассудный, опрометчивый поступок.|безрассудство
Сочетание научно-документального материала с элементами художественного повествования в публицистической, научно-популярной и т.п. литературе.|беллетризация
Прозаические повествовательные произведения художественной литературы (в отличие от научной, публицистической и т.п. литературы).|беллетристика
Семейство вечнозеленых или листопадных деревьев, кустарников и лиан, к которому относятся бересклет, краснопузырник и т.п.|бересклетовые
Отсутствие конца, предела (в пространстве и времени).|бесконечность
Пространство, не имеющее видимых пределов, границ.|бесконечность
Девушка-невеста, не имеющая приданого.|бесприданница
Устройство для приготовления бетонной смеси путем перемешивания ее составных частей во вращающемся барабане.|бетономешалка
Вещество, оказывающее стимулирующее воздействие на жизнедеятельность организма.|биостимулятор
Измерение на расстоянии жизненных функций организма.|биотелеметрия
Раздел биологии, в котором изучаются механизмы и закономерности преобразования энергии в процессах жизнедеятельности организмов.|биоэнергетика
Чувство признательности за сделанное добро, оказанное внимание, услугу и т.п.|благодарность
Официальная положительная оценка труда, деятельности как мера поощрения.|благодарность
Полное благополучие, процветание.|благоденствие
Успешное развитие, благополучное существование.|благоденствие
Доброжелатель.|благожелатель
Религиозно-бытовой свадебный обряд у христиан, состоящий в крестообразном осенении иконой жениха и невесты их родителями перед венчанием.|благословение
Разрешение, позволение сделать.|благословение
Доброе напутствие, пожелание удачи, благополучия.|благословение
Боевая готовность.|боеготовность
Раздел физической географии, в котором изучаются болота.|болотоведение
Метатель бомб.|бомбометатель
Охота или ловля рыбы в запрещенных местах, в запрещенное время или запрещенным способом, а также недозволенная рубка леса.|браконьерство
Убийство своего брата своих братьев.|братоубийство
Помещение, где производится брошюровка.|брошюровочная
Машина для укладки корнеплодов в бурты.|буртоукладчик
Водитель трамвая.|вагоновожатый
Лицо, дающее вексель; должник.|векселедатель
Приверженец христианства, претерпевший за веру тяжелые мучения и принявший смерть от гонителей христианства.|великомученик
Воздействие друг на друга лиц, предметов, явлений и т.п., вызывающее обоюдные изменения.|взаимовлияние
Взаимная, обоюдная помощь, выручка в деле.|взаимовыручка
Взаимные расчеты.|взаиморасчеты
Крайне нервозное состояние, возбуждение.|взвинченность
Устройство для защиты от вредного воздействия вибрации.|виброизолятор
Защита от вредного воздействия вибрации с помощью разного рода амортизаторов.|виброизоляция
Устройство для дистанционного ввода или вывода информации в вычислительных системах, оснащенное экраном визуального контроля.|видеотерминал
Изменение внешнего вида, облика.|видоизменение
Изменение видовых свойств, признаков в процессе развития, эволюции.|видоизменение
Сочинение стихов (обычно бездарных, малосодержательных).|виршеплетство
Совокупность методов измерения вязкости жидкости и газов.|вискозиметрия
Раздел медицины и биологии, в котором изучаются витамины.|витаминология
Насильственное вторжение в дела, отношения и т.п.|вмешательство
Действия, пресекающие нежелательные последствия, приостанавливающие развитие опасного, вредного.|вмешательство
Количество воды, вытесняемой плавающим судном.|водоизмещение
Лечебно-профилактическое учреждение, специализирующееся на водолечении.|водолечебница
Устройство для подъема воды.|водоподъемник
Обеспечение водой промышленных предприятий и населенных пунктов.|водоснабжение
Водоем (обычно искусственный), созданный для целей путем перегораживания плотиной реки, ручья и т.п.|водохранилище
Военнослужащий, взятый в плен.|военнопленный
Местность, участок земной поверхности, возвышающиеся над прилегающей местностью.|возвышенность
Зарождение, появление.|возникновение
Критическое отношение к господствующим взглядам, к существующему строю; свободомыслие.|вольнодумство
Упражнения и прыжки, производимые наездником во время движения лошади по кругу.|вольтижировка
Вид цирковой акробатики и гимнастики (подбрасывание акробатов в воздух, перелет гимнастов с одной трапеции на другую).|вольтижировка
Душевный подъем, увлеченность.|воодушевление
Оснащенность армии боевой техникой и предметами военного снаряжения, необходимыми для осуществления боевых действий.|вооруженность
Оснащенность материалами, инструментами, механизмами и т.п., необходимыми для деятельности.|вооруженность
Действия, поступки вредителя.|вредительство
Способность всасываться.|всасываемость
Неограниченное могущество; всесилие.|всемогущество
Ученик второго класса.|второклассник
Приспособление в затворе огнестрельного оружия, автоматически выбрасывающее (после выстрела) гильзу патрона, снаряда.|выбрасыватель
Изменение, возникшее в результате выветривания.|выветренность
Отключенность, отстраненность.|выключенность
Период появления колоса (у ржи, пшеницы и т.п.).|выколашивание
Инструмент, приспособление для выравнивания.|выравниватель
Ровность, гладкость.|выровненность
Возможность или степень вырождения.|вырождаемость
Строительство буровых вышек.|вышкостроение
Аппарат для переработки твердого или жидкого топлива в горючий газ.|газогенератор
Машина для скашивания, стрижки травы на газонах.|газонокосилка
Сооружение для хранения газа.|газохранилище
Использование постоянного электрического тока в технических или медицинских целях.|гальванизация
Деятельность гастролера.|гастролерство
Раздел биофизики, в котором изучается влияние изменений активности Солнца на земные организмы.|гелиобиология
Гелиоцентрическая система мира.|гелиоцентризм
Научная дисциплина, изучающая рельеф земной поверхности (суши, дна океанов, морей), его происхождение и историю развития.|геоморфология
Власть старцев.|геронтократия
Раздел акустики, в котором изучаются законы распространения звуковых волн в водной среде.|гидроакустика
Гидроакустическая аппаратура.|гидроакустика
Акватория с прилегающей прибрежной территорией и комплексом необходимых сооружений, предназначенная для взлета, посадки, размещения гидросамолетов.|гидроаэродром
Научная дисциплина, изучающая жизнь водных организмов и биологические процессы, совершающиеся в водоемах.|гидробиология
Научная дисциплина, изучающая происхождение, движение, свойства подземных вод, а также возможности их использования.|гидрогеология
Геологическое состояние подземных вод территории.|гидрогеология
Раздел гидромеханики, в котором изучается движение жидкостей и воздействие их на обтекаемые ими твердые тела.|гидродинамика
Защита строительных конструкций, сооружений, зданий от воздействия, проникания воды.|гидроизоляция
Гидроизоляционные материалы.|гидроизоляция
Раздел механики, в котором изучается движение и равновесие жидкостей и их взаимодействия с твердыми телами.|гидромеханика
Болезненное состояние, обусловленное недостаточностью витаминов в организме.|гиповитаминоз
Способность глубоко проникать в сущность явлений.|глубокомыслие
Серьезность, сосредоточенность.|глубокомыслие
Высокий снежный покров; период наибольшего выпадения снега.|глубокоснежье
Движение голоса голосов при переходе от одного сочетания звуков к другому (в многоголосном музыкальном произведении).|голосоведение
Разведение домашних и почтовых голубей.|голубеводство
Купец или приказчик, торговавший в гостином дворе.|гостинодворец
Прибор для измерения градиента.|градиентометр
Цветки некоторых растений с венчиком конусообразной формы.|граммофончики
Граммофонная пластинка.|грампластинка
Боец, вооруженный ручными гранатами.|гранатометчик
Стрелок, вооруженный гранатометом.|гранатометчик
Совокупность приемов определения содержания различных по величине фракций зерен в осадочных, горных породах, почвах и искусственных материалах.|гранулометрия
Особое произношение звука [р], характерное для французов (обычно парижан).|грассирование
Процесс чесания с помощью гребней гребенок волокнистых материалов (хлопка, шерсти и т.п.) при подготовке их к прядению.|гребнечесание
Владелец груза.|грузовладелец
Фотограф, занимавшийся дагерротипией.|дагерротипист
Метод установления личности по отпечаткам пальцев рук человека.|дактилоскопия
Срок, период, промежуток времени в двадцать лет.|двадцатилетие
Годовщина события, происшедшего, начавшегося и т.п. двадцать лет назад.|двадцатилетие
Подкласс костных рыб, которым наряду с жаберным свойственно и легочное дыхание.|двоякодышащие
Наличие в двух планов содержания.|двуплановость
Соединение двойственных признаков.|двуплановость
Класс двустворчатых моллюсков.|двустворчатые
Отход культуры, искусства, науки и т.п. от духовной и нравственной стороны в жизни человека.|дегуманизация
Отсутствие гуманистического начала, гуманистической сущности.|дегуманизация
Устройство для мелкого дробления хрупких материалов (угля, гипса, серы, торфа и т.п.).|дезинтегратор
Распадение, расчленение целого на составные части.|дезинтеграция
Способ полиграфического изготовления переводных изображений и переноса их на бумагу, дерево, металл, фарфор и т.п.|декалькомания
Предоставление независимости колониальным странам и народам.|деколонизация
Превращение колониальных и зависимых территорий в свободные и независимые государства.|деколонизация
Нарушение деятельности органа, системы органов или всего организма вследствие срыва или истощения приспособительных механизмов (в медицине).|декомпенсация
Рабочее помещение декораторов.|декораторская
Увольнение военнослужащих из вооруженных сил по окончании войны или срока действительной службы.|демобилизация
Перевод вооруженных сил и народного хозяйства страны с военного положения на мирное.|демобилизация
Упадок нравственности; моральное разложение.|деморализация
Упадок дисциплины, морального духа; потеря способности к действию.|деморализация
